number,english,ipa,ru
1,Chill,tʃɪl,спокойный
2,Savage,ˈsævɪdʒ,"жёсткий, брутальный"
3,The party is lit,ðə ˈpɑːti ɪz lɪt,вечеринка крутая
4,On fleek,ən ˈfliːk,"на высоте, просто отпад"
5,"Salty,",ˈsɔːlti | ˈsɒlti,"недовольный, обиженный"
6,YOLO,ˈjəʊləʊ,"you only live once, лови момент вечеринок куда-то без приглашения опасный человек"
7,Vibe,vaɪb,"вайб, атмосфера"
8,Snatched,snætʃt,очень привлекательный
9,Cringe,krɪndʒ,"кринж (ну, сами знаете)"
10,Cram,kræm,интенсивно что-то делать
11,To crash,kræʃ,попасть в аварию; заявляться
12,Dope!,dəʊp,Круто!
13,Yikes!,jaɪks,"удивлённое восклицание, (но на самом деле хвастаться)"
14,To flex,fleks,"притворяться, понтоваться"
15,Sus,sʌs,кто-то подозрительный
16,Fam,fæm,"семья (сокр. от family), близкий друг/"
17,Snack,snæk,"кто-то, кто привлекательно выглядит подписчиков"
18,Wig,wɪɡ,"вау, круто"
19,Hot,hɒt,привлекательный
20,Hypebeast,ˈhaɪpˌbiːst,"тот, кто постоянно покупает ведет себя лакшери-бренды слишком"
21,Corny,ˈkɔːni,"избитый, пошлый драматично"
22,Cheesy,ˈtʃiːzi,"банальный, дурацкий для ситуации"
23,Bussin’,ˈbʌsɪn,"крутой, на высоком уровне"
24,Chocoholic,ˌtʃɒkəˈhɒlɪk,"«шокоголик», сладкоежка"
25,Workaholic,ˌwɜːkəˈhɒlɪk,трудоголик
26,Shopaholic,ˌʃɒpəˈhɒlɪk,шопоголик
27,Awesome,ˈɔːsəm,потрясающий
28,To screw up,ˈskruː ʌp,налажать
29,Party animal,ˈpɑːti ˈænɪml,любитель
30,Smart cookie,smɑːt ˈkʊki,умница
31,Early bird,ˈɜːli bɜːd,жаворонок (о человеке)
32,Creep,kriːp,"очень неприятный, даже"
33,To humblebrag,ˈhʌmblbræɡ,прибедняться
34,Hustler,ˈhʌslə(r),пробивной человек
35,"To troll,",trɒl | trəʊl,троллить
36,Influencer,ˈɪnfluənsə(r),"инфлюенсер, подруга человек с кучей"
37,Meme,miːm,мем
38,Drama queen,ˈdrɑːmə kwiːn,"человек, который"
39,Catfish,ˈkætfɪʃ,онлайн-мошенник Артикли Союзы
40,"The,,",ðiː | ði | ðə,определённый артикль
41,"A (an), (,)",eɪ | ə | æn | ən,неопределённый артикль
42,To be,biː,быть
43,And,ænd,и
44,If,ɪf,если
45,Or,ɔː(r),или Самый важный глагол
46,But,bʌt,но
47,Because,bɪˈkɒz,потому что
48,So,səʊ,поэтому Союзы Наречия
49,After,ˈɑːftə(r),после того как
50,Before,bɪˈfɔː(r),до того как
51,Than,ðæn,чем
52,Until,ənˈtɪl,до тех пор пока
53,To,tuː,"к, в"
54,Of,ʌv,"из, от, о"
55,In,ɪn,в
56,For,fɔː(r),для
57,On,ɒn,на
58,With,wɪð,с
59,At,æt,"в, на"
60,By,baɪ,"к, по, от"
61,From,frɒm,из
62,Into,ˈɪntuː,"в, к"
63,Through,θruː,через
64,Over,ˈəʊvə(r),над
65,Inside,ˌɪnˈsaɪd,"в, внутрь"
66,Above,əˈbʌv,над
67,Across,əˈkrɒs,через
68,Between,bɪˈtwiːn,между
69,Near,nɪə(r),возле
70,Except,ɪkˈsept,кроме
71,Despite,dɪˈspaɪt,несмотря на Наречия
72,There,ðeə(r),там
73,Better,ˈbetə(r),лучше
74,Here,hɪə(r),здесь
75,When,wen,когда
76,Where,weə(r),где Местоимения
77,As,æz,как
78,Out,aʊt,вне
79,Up,ʌp,вверх
80,Only,ˈəʊnli,только
81,Then,ðen,тогда
82,How,haʊ,как
83,Lot,lɒt,много
84,Why,waɪ,почему
85,Already,ɔːlˈredi,уже
86,Yet,jet,ещё
87,"Yesterday,",ˈjestədeɪ | ˈjestədi,вчера
88,Tomorrow,təˈmɒrəʊ,завтра
89,Today,təˈdeɪ,сегодня
90,Tonight,təˈnaɪt,сегодня вечером
91,Exactly,ɪɡˈzæktli,точно
92,Back,bæk,назад
93,Still,stɪl,всё ещё
